test_id,material,temperature_C,UTS_MPa
T001,Aluminium,150,279.5
T002,Aluminium,100,272.6
T003,Titanium,200,820.0
T004,Steel,200,534.2
T005,Steel,50,608.9
T006,Titanium,250,817.4
T007,Steel,20,605.1
T008,Titanium,150,846.2
T009,Aluminium,200,269.3
T010,Titanium,100,858.0
T011,Steel,100,593.4
T012,Steel,100,594.4
T013,Aluminium,100,283.7
T014,Steel,250,536.9
T015,Steel,100,574.7
T016,Steel,20,630.1
T017,Steel,20,601.8
T018,Steel,200,537.1
T019,Titanium,250,811.8
T020,Aluminium,100,289.4
T021,Steel,200,551.9
T022,Aluminium,20,298.7
T023,Aluminium,150,268.8
T024,Steel,100,610.9
T025,Aluminium,150,260.7
T026,Aluminium,100,288.9
T027,Aluminium,20,316.1
T028,Steel,150,560.4
T029,Steel,50,588.1
T030,Steel,100,573.5
T031,Steel,250,538.0
T032,Aluminium,50,302.9
T033,Aluminium,100,291.2
T034,Steel,100,582.1
T035,Steel,200,555.0
T036,Steel,200,547.7
T037,Steel,100,598.1
T038,Steel,200,540.9
T039,Aluminium,150,262.5
T040,Steel,100,572.3
T041,Titanium,100,859.1
T042,Titanium,200,819.1
T043,Aluminium,200,258.2
T044,Steel,100,582.5
T045,Steel,200,554.2
T046,Aluminium,50,297.0
T047,Titanium,20,1008.6
T048,Steel,200,547.8
T049,Aluminium,20,302.1
T050,Steel,150,571.0
T051,Steel,50,613.4
T052,Steel,50,589.5
T053,Steel,50,601.9
T054,Steel,250,537.2
T055,Steel,20,604.3
T056,Aluminium,250,252.3
T057,Steel,200,553.9
T058,Aluminium,100,271.2
T059,Steel,250,520.9
T060,Steel,50,605.7
T061,Titanium,20,896.4
T062,Aluminium,250,232.9
T063,Aluminium,20,312.2
T064,Aluminium,50,302.6
T065,Steel,150,549.2
T066,Steel,250,516.1
T067,Steel,50,620.9
T068,Steel,200,561.9
T069,Steel,150,567.0
T070,Titanium,150,857.4
T071,Steel,50,588.1
T072,Titanium,100,903.1
T073,Titanium,50,894.3
T074,Steel,250,530.7
T075,Aluminium,100,291.0
T076,Aluminium,100,289.1
T077,Titanium,250,844.0
T078,Titanium,50,883.8
T079,Steel,100,570.6
T080,Steel,150,577.6
T081,Titanium,100,863.9
T082,Steel,150,589.4
T083,Steel,20,588.2
T084,Aluminium,200,253.2
T085,Aluminium,100,285.1
T086,Aluminium,50,291.4
T087,Steel,100,595.3
T088,Steel,20,614.9
T089,Steel,150,588.3
T090,Steel,150,556.8
T091,Steel,150,570.3
T092,Steel,150,569.0
T093,Steel,20,649.1
T094,Titanium,250,800.4
T095,Steel,150,572.5
T096,Steel,200,536.2
T097,Aluminium,100,286.4
T098,Aluminium,50,297.5
T099,Steel,250,410.2
T100,Titanium,100,834.6
